Species,Current Interactions,Current Rate,Historical Mean Rate,Historical Median Rate,Historical P90 Rate,Rate Percentile,Rate Robust Anomaly,Annual Percent Change,Trend Model Used,Trend Model Flag,Trend Years,Trend,Historical Years,Historical Centroid Lon,Historical Centroid Lat,Current Centroid Lon,Current Centroid Lat,Centroid Shift km,Pct Interactions Outside 90
Black-footed albatross,37,0.0317300782275064,0.0233365865117413,0.0204426308198487,0.0502674323785791,75,0.563721755337317,0.144723444068928,Poisson,Preferred model,5,Increasing,20,-157.692448440217,30.192274443353,-157.556887374223,31.3858236486487,133.346983922202,0.0
Laysan albatross,54,0.0463087628185228,0.0265928812443418,0.029997856891083,0.042262740520368,95,0.945042907635787,12.184653791162,Poisson,Preferred model,5,Increasing,20,-163.329619246838,29.7553338810642,-160.808377782752,31.085500462963,283.397973434731,0.0
Oceanic whitetip shark,3,0.00257270904547349,0.0378470609965144,0.0259104682152822,0.0541251745341601,20,-0.988247452894856,-30.7475704438674,Poisson,Preferred model,5,Decreasing,20,-165.320609124598,25.8229559428285,-157.758307492966,24.9469416666667,765.807415580272,0.0
Shortfin mako shark,1172,1.00507166709831,1.02313853286513,0.918558829193447,1.27126082891335,55,0.328978874898098,-16.5154042113124,Poisson,Preferred model,5,Decreasing,20,-147.865797438983,32.9167440989938,-151.198659735956,32.9588955773606,311.050741268294,5.88737201365188
Leatherback turtle,8,0.00686055745459597,0.024840696221135,0.00494484678511018,0.011046691531284,65,0.646405167125803,7.12787837255462,Poisson,NB fitting error; Poisson fallback,10,Increasing,20,-153.518267714593,31.8598252544529,-155.405621853684,31.79504375,178.452509577776,12.5
Loggerhead turtle,37,0.0317300782275064,0.0172922891810891,0.0106391442154923,0.043264184758059,85,1.69523987699861,5.11163691611156,Negative binomial,Preferred model,10,Increasing,20,-152.071609707214,32.5600932885906,-152.71279866206,32.4460195945946,61.4525197013011,5.4054054054054
